Name,Service Type,Phone,Email,Address,Latitude,Longitude,URL
Grandview Family Clinic,Health,(03) 5951 1860,,"3 Grandview Grove, Cowes VIC 3922",-38.4578287,145.2375506,familydoctor.com.au,,,,
Kardinia Health,Health,(03) 5202 9333,,"2/18 Colac Rd, Belmont VIC 3216",-38.1900689,144.3259681,,,,,
Modern Medical Caroline Springs,Health,(03) 8358 0100,,"Suite C3A/1042 Western Hwy, Caroline Springs VIC 3023",-37.7541,144.7651,qualitashealth.com.au,,,,
Andrew Place Clinic - Mill Park,Health,(03) 9466 7211,,"Shop 4/30 Oleander Dr, Mill Park VIC 3082",-37.6667,145.0667,,,,,
Anglesea Medical,Health,(03) 4215 6700,,"3 McMillan St, Anglesea VIC 3230",-38.4096972,144.1855704,,,,,
Kings Park Medical Centre Hillside,Health,(03) 9217 9400,,"Kings Park Medical Centre-Hillside, 40 Gourlay Rd, Hillside VIC 3037",-37.69047,144.74172,kingsparkmedical.com.au,,,,
Tarneit Family Medical & Dental Centre,Health,(03) 8742 4676,,"937-941 Sayers Rd, Tarneit VIC 3029",-37.8499178,144.7014938,,,,,
Yarram & District Health Services,Health,(03) 5182 0222,,"85 Commercial Rd, Yarram VIC 3971",-38.5570826,146.6781973,,,,,
Mediclinic Clayton,Health,(03) 9544 1555,,"Factory 25/14-26 Audsley St, Clayton South VIC 3169",-37.9431,145.106,,,,,
Cranbourne West Medical Centre,Health,(03) 7017 5932,,"Shop S15/19 Strathlea Dr, Cranbourne West VIC 3977",-38.1375,145.2744,,,,,
Multicultural Health and Support Service (MHSS),Health,(03) 9418 0999,,"134 Cambridge St, Collingwood VIC 3066",-37.804436,144.985751,,,,,
North Richmond Community Health,Health,(03) 9418 9800,,"23 Lennox St, Richmond VIC 3121",-37.8130692,144.9958555,,,,,
St Vincent's Hospital,Health,03 9231 2211,,41 Victoria Parade Fitzroy VIC 3065,-37.8070939,144.9746855,,,,,
Sexual Health Victoria Box Hill,Health,03 9257 0100,,"901 Whitehorse Rd, Box Hill VIC 3128",-37.8173955,145.1210325,,,,,
Sexual Health Victoria Melbourne,Health,03 9660 4700,,"Level 1/94 Elizabeth St, Melbourne VIC 3000",-37.8103786,144.9613079,,,,,
The Royal Melbourne Hospital,Health,(03) 9342 7000,,"300 Grattan St, Parkville VIC 3052",-37.7986693,144.9564033,,,,,
Gateway Health Myrtleford,Support,03 5731 3500,info@gatewayhealth.org.au,32 Smith Street Myrtleford VIC 3737,-36.5596922,146.7234771,,,,,
Gateway Health Wangaratta,Support,03 5723 2000,info@gatewayhealth.org.au,"45-47 Mackay Street, Wangaratta VIC 3677",-36.3575611,146.3188557,,,,,
Gateway Health Wodonga,Support,1800 657 573,info@gatewayhealth.org.au,155 High Street Wodonga VIC 3690,-36.1236423,146.8878404,,,,,
Rainbow Health Australia,Support,94798700, rainbowhealthvic@latrobe.edu.au,"La Trobe University, Bundoora, VIC, 3086",-37.717222,145.0442807,,,,,
Switchboard Rainbow Door Helpline,Support,1800 729 367,support@rainbowdoor.org.au,,,,,,,,
RhED,Support,1800 458 752,,"22/28 Fitzroy St, St Kilda VIC 3182",-37.8607129,144.9759245,,,,,
Living Positive Victoria,Support,(03) 9863 8733,info@livingpositivevictoria.org.au,"Coventry House, Ground Floor, 95 Coventry Street, Southbank VIC 3006",-37.8228,144.9643,,,,,
Positive Women,Support,(03) 9863 8747,info@positivewomen.org.au,"Ground Floor, 95 Coventry Street, Southbank VIC 3006",-37.8303045,144.9666766,,,,,
HIV Positive Peer Support,Support,1800 622 795,peersupport@thorneharbour.org,,,,,,,,
Positive Living Centre,Support,(03) 9863 0444,plcfeedback@thorneharbour.org,"51 Commercial Road, South Yarra, Victoria 3141",-37.8455349,144.9844585,,,,,
Community Support (Home Care),Support,(03) 9863 0430,homecare@vac.org.au,,,,,,,,
Community Support (Peer Support),Support,(03) 9863 0426,support@vac.org.au,,,,,,,,
Housing Plus,Support, (03) 9863 0444, housing@thorneharbour.org,"51 Commercial Road, South Yarra, Victoria 3141",-37.8455349,144.9844585,,,,,
David Williams Fund,Support,1800 134 840,dwf@thorneharbour.org,"51 Commercial Road, South Yarra, Victoria 3141",-37.8455349,144.9844585,,,,,
Victoria Aboriginal Health Services (VAHS) Medical Clinic Fitzroy,Health,(03) 9419 3000,,"186 Nicholson St, Fitzroy VIC 3065",-37.7993801,144.975129,,,,,
Victoria Aboriginal Health Services (VAHS) Medical Clinic Preston,Health,(03) 9403 3300,,"238-250 Plenty Rd, Preston, Victoria, 3072",-37.7453018,145.0066204,,,,,
Victoria Aboriginal Health Services (VAHS) Medical Clinic Epping,Health,(03) 8592 3920,,560-650 High Street Epping VIC 3076,,,,,,,
